timestamp,datetime_utc,open,high,low,close,volume,trades
1677628800,2023-03-01 00:00:00+00:00,23133.2,23146.4,23133.2,23146.0,0.26833389999999996,12
1677628860,2023-03-01 00:01:00+00:00,23146.0,23152.3,23144.7,23144.7,0.026292680000000002,14
1677628920,2023-03-01 00:02:00+00:00,23144.9,23157.0,23144.9,23157.0,0.25546033,14
1677628980,2023-03-01 00:03:00+00:00,23157.3,23158.1,23157.3,23158.1,0.05633747,9
1677629040,2023-03-01 00:04:00+00:00,23158.1,23171.6,23158.1,23171.6,1.5856876200000003,38
1677629100,2023-03-01 00:05:00+00:00,23171.6,23182.2,23171.6,23181.9,0.14844364,16
1677629160,2023-03-01 00:06:00+00:00,23181.8,23181.8,23165.4,23165.4,0.061366409999999996,15
1677629220,2023-03-01 00:07:00+00:00,23165.3,23165.4,23153.2,23153.3,1.5245795,65
1677629280,2023-03-01 00:08:00+00:00,23153.3,23156.8,23144.8,23144.8,0.95545568,25
1677629340,2023-03-01 00:09:00+00:00,23144.7,23144.7,23128.6,23128.9,0.18515613999999994,21
1677629400,2023-03-01 00:10:00+00:00,23129.0,23130.0,23129.0,23130.0,0.17925884,14
1677629460,2023-03-01 00:11:00+00:00,23130.0,23130.0,23118.6,23129.8,5.273441649999999,30
1677629520,2023-03-01 00:12:00+00:00,23129.8,23163.6,23129.8,23163.6,1.3912210199999997,34
1677629580,2023-03-01 00:13:00+00:00,23163.9,23171.1,23163.9,23168.7,0.11680064999999999,8
1677629640,2023-03-01 00:14:00+00:00,23171.2,23171.2,23156.8,23160.8,0.8033588700000001,31
1677629700,2023-03-01 00:15:00+00:00,23160.8,23171.3,23160.8,23171.3,0.51560449,15
1677629760,2023-03-01 00:16:00+00:00,23171.0,23171.0,23171.0,23171.0,0.00678638,4
1677629820,2023-03-01 00:17:00+00:00,23171.0,23180.8,23171.0,23180.5,0.28997816,20
1677629880,2023-03-01 00:18:00+00:00,23180.5,23180.6,23180.5,23180.5,0.01923229,7
1677629940,2023-03-01 00:19:00+00:00,23180.4,23183.6,23180.4,23182.5,0.31298071,14
1677630000,2023-03-01 00:20:00+00:00,23183.1,23183.1,23177.2,23178.0,1.47821304,20
1677630060,2023-03-01 00:21:00+00:00,23178.0,23192.8,23178.0,23191.7,0.34451928,29
1677630120,2023-03-01 00:22:00+00:00,23191.6,23216.7,23191.6,23201.0,0.56011434,51
1677630180,2023-03-01 00:23:00+00:00,23202.2,23202.2,23201.7,23201.8,0.00387738,6
1677630240,2023-03-01 00:24:00+00:00,23201.7,23213.3,23201.7,23212.3,0.12396473,19
1677630300,2023-03-01 00:25:00+00:00,23212.3,23212.3,23201.0,23201.0,0.7487448799999998,32
1677630360,2023-03-01 00:26:00+00:00,23201.1,23201.1,23201.1,23201.1,0.00365659,6
1677630420,2023-03-01 00:27:00+00:00,23201.1,23201.1,23201.0,23201.0,0.027101579999999997,6
1677630480,2023-03-01 00:28:00+00:00,23201.1,23201.1,23200.8,23200.9,0.43647800999999997,25
1677630540,2023-03-01 00:29:00+00:00,23200.8,23200.8,23189.8,23189.9,1.0529089000000003,34
1677630600,2023-03-01 00:30:00+00:00,23189.8,23189.8,23178.3,23178.5,0.3238713899999999,13
1677630660,2023-03-01 00:31:00+00:00,23178.6,23188.1,23178.6,23187.1,1.31529598,20
1677630720,2023-03-01 00:32:00+00:00,23187.1,23214.5,23187.1,23196.8,6.66046709,69
1677630780,2023-03-01 00:33:00+00:00,23214.5,23215.6,23214.5,23215.4,0.08440396,16
1677630840,2023-03-01 00:34:00+00:00,23215.5,23215.5,23202.0,23202.3,0.27842043999999994,14
1677630900,2023-03-01 00:35:00+00:00,23202.3,23202.6,23202.3,23202.6,0.04379348,6
