symbol,timestamp,open,high,low,close,volume,quote_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,open_time_ms,close_time_ms
BTCUSDC,2023-03-01 00:00:00+00:00,23143.82,23152.65,23140.02,23152.65,0.26395,6109.00079904,9,0.22138,5123.7930676,1677628800000,1677628859999
BTCUSDC,2023-03-01 00:01:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0,0.0,0,0.0,0.0,1677628860000,1677628919999
BTCUSDC,2023-03-01 00:02:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0,0.0,0,0.0,0.0,1677628920000,1677628979999
BTCUSDC,2023-03-01 00:03:00+00:00,23152.65,23152.65,23152.65,23152.65,0.0,0.0,0,0.0,0.0,1677628980000,1677629039999
BTCUSDC,2023-03-01 00:04:00+00:00,23171.83,23171.83,23171.83,23171.83,0.02,463.4366,1,0.0,0.0,1677629040000,1677629099999
BTCUSDC,2023-03-01 00:05:00+00:00,23178.51,23178.51,23178.51,23178.51,0.000454,10.52304354,1,0.000454,10.52304354,1677629100000,1677629159999
BTCUSDC,2023-03-01 00:06:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0,0.0,0,0.0,0.0,1677629160000,1677629219999
BTCUSDC,2023-03-01 00:07:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0,0.0,0,0.0,0.0,1677629220000,1677629279999
BTCUSDC,2023-03-01 00:08:00+00:00,23178.51,23178.51,23178.51,23178.51,0.0,0.0,0,0.0,0.0,1677629280000,1677629339999
BTCUSDC,2023-03-01 00:09:00+00:00,23134.36,23134.44,23134.36,23134.44,0.030335,701.78255528,3,0.030335,701.78255528,1677629340000,1677629399999
BTCUSDC,2023-03-01 00:10:00+00:00,23133.69,23133.69,23133.69,23133.69,0.026,601.47594,1,0.026,601.47594,1677629400000,1677629459999
BTCUSDC,2023-03-01 00:11:00+00:00,23133.69,23133.69,23133.69,23133.69,0.0,0.0,0,0.0,0.0,1677629460000,1677629519999
BTCUSDC,2023-03-01 00:12:00+00:00,23146.53,23146.53,23146.53,23146.53,0.00295,68.2822635,1,0.00295,68.2822635,1677629520000,1677629579999
BTCUSDC,2023-03-01 00:13:00+00:00,23146.53,23146.53,23146.53,23146.53,0.0,0.0,0,0.0,0.0,1677629580000,1677629639999
BTCUSDC,2023-03-01 00:14:00+00:00,23163.04,23163.04,23163.04,23163.04,0.026,602.23904,1,0.026,602.23904,1677629640000,1677629699999
BTCUSDC,2023-03-01 00:15:00+00:00,23163.04,23163.04,23163.04,23163.04,0.0,0.0,0,0.0,0.0,1677629700000,1677629759999
